Text_SubjectiveLit,Text_Anxiety,Text_Numeracy,Text_TrustPhys
I feel that I have a high capacity to make appropriate health decisions based on the information I receive.  I always make sure to ask any questions I have no matter how small they seem.  I make sure I understand what I need to before I leave the office as I want to make sure I get better and don't do anything to make my condition worse.  I try not to use things like webMD or other things on the computer and just listen to my doctor.  I don't want to get any false information or confuse myself.  I trust my primary health physician as he has been right in the past and has helped me get over a few things with no complications and fairly quickly in all instances as well.  He goes over any documents or directions with me before I leave so I can ask questions and so he knows I understand everything.  ,Mostly just that the doctor is going to find something really bad.  I am not worried about what the doctor will do or the physical examition itself.  Just the part in the back of your mind that he may diagnose something very bad.  That is what makes me worried and a little uneasy.  Not a whole lot just in the back of my mind.,"About two years ago I awoke one morning with a large bump on my back.  It was very painful and pus was oozing out of it.  I went to the minute clinic because that was fast to get into.  The lady just said it was probably a bug bite and nothing serious.  I hadn't ever had a reaction like this to a bug before and knew that where the bump was, on my back near my spine, that I needed to get another opinion.  I got into my normal physician about five hours later.  he said it was good that I came in because it was severely infected and the infection area was getting very close to my spine and getting into my blood stream.  If I hadn't known something was worse than was diagnosed at the minute clinic I could have easily ended up in the hospital.",I have gone to him a few times in the past couple years.  He has always been diligent and has diagnosed my conditions correctly each time.  He had to do a couple small procedures which went great.  I have gotten better each time and have had no complications when recovering.  He has done a fantastic job.  Takes the time to make sure he knows what is wrong and goes over everything I need to know and answers my questions.
I feel I understand everything I'm asked when i'm  talking to my doctor. When my doctor ask questions i fully understand with I'm asked. ,"when they stop the convo and you start to think something is wrong with you, or you scared of your weight or blood pressure.",the last time I went t the doctor the doctor told me had  a higher changes of get high blood pressure or high cholesterol.,i just trust my doctor ho when to school and I know she care about her patients. She work for her patients and not just for the paid.
I feel that I know everything that I need to know basically about any medical conditions that may arise. If there is something that I do not know then I can always go to Google and find out more about it. ,I have anxiety in going to the doctor. I feel that the doctor will try and diagnose me with something that I do not have. ,I told the doctor that I had a blood clot and he kept saying that I didnot until I went back for a CT scan that revealed a blood clot.,"I do not trust completely in my doctor or any doctor for that matter. In 2010, I kept having chest pains and the doctor said that it was nothing. I had them for about a week and then one day I almost passed out in the parking of my electric company and I was taken to the ER. Come to find out I had a blood clot in my lung. I do not trust doctors. If I have a illness I will try and fix it myself."
I often re-read the medical forms to be sure I am answering them to the best of my ability but I find myself holding back questions for doctors because I don't feel comfortable in my own abilities in sounding educated. I am in constant pain from fibromyalgia and have had difficulty in finding a doctor that won't just give me some pills for depression and send me on my way. ,I worry that I will be referred to yet another doctor who will then refer me to another doctor. I am also worried that I will be told that the only thing they can do is give me another pill to take. ,"My sister was diagnosed with ovarian cancer, stage 3C. I was able to tell her about the different options for treatment. ",My primary care physician is kind and he listens but I feel he is often in a hurry and hears my words but only the ones that he wants to. He wants to order more test on top of more tests and sends me to other doctors that I can not afford even after I express to him that I do not have the finances to go to others. 
i believe that i can comprehend most of the medical documents i only have a problem when they require signatures and also when they use medical terminology to describe things that could be put simply. ,"that i will be belittled, and my concerns wont be addressed because they will make up their mind about it with little information and dont do a full exam.","this has never happened to me, i always research my symptoms and then go to the doctor to see if the internet was right or wrong. then ask the dr why its this and not these other things.;","i haven't been to my primary in years because when i had a medical problem and i came to them they said they wouldn't do test because it wasn't their ""area"". they are general practitioners. everything is their area they could have taken blood and run labs and then refereed me but they didn't do anything  "
when in visit a doctor I try to get as much information that is needed for my health like what is required of me the type of sickness I can get and what is happening to me I tend to also ask a lot of questions just to get a better  understanding on what is going on in bed ,to find out what is wrong with me and sometimes I don't want to hear the truth because it will have me overthinking about it,I have asthma which it often have me to be rush to the doctor for check up and such and taking medication which I sometimes don't like to take but because of my health I have to take it ,sometimes I think they take things out of control because everyone body is different and sometimes the things they said we should be taking it ends up making us worst or bad 
I understand them most of the time. I have a bad rememberer but a good forgetter. I do try to have the dr to explain my conditions. sometimes I wonder if they know their selves,worried about what she might find. have had a lot of health issues lately and never know what to expect.,I understand very little . I try to understand what all of my dr's try to tell me.. I never thought I would have the health problems I have had at the age I am.l,my main dr is a va dr. I trust her for the present time. sometimes I feel that she is just searching for a problem and a cure. but overall I am pleased with what she has done.
"Most times when I am given medical information related to my conditions or the prescriptions that I may have to take I usually have a good understanding of what I am told. However, when I do have questions I still like to ask general questions in case there was something that was omitted or missed accidentally. Usually when I have an ER visit I definitely ask questions because it seems as if the doctors only care about getting you out as fast possible unless your in need of life support.","I went to the emergency room several months ago because my feet were swollen for a few weeks and it was painful for me to walk or stand. In addition to the pain and swelling there was a very aggressive rash on both feet. After sitting in the ER for hours, the doctor told me I had athlete's foot. I followed his instructions and took the medications and one weeks later the condition only got worse. I went to my physician and was then told the problem was an extension of my eczema and that he would put in a referral for me  to see a dermatologist. After a few reminders and months later, I am still waiting to see a dermatologist.",I knew I had GERD after realizing that some over-the counter medications were no longer effective in treating my symptoms.  had also noticed that something as simple as drinking a glass of water too fast would trigger heart burn and a great deal of discomfort. ,"Sometimes I feel the doctors are only going to do as much as they need to cover the basics. For instance, if a patient only have medicaid or medicare the doctors will not suggest better treatment options that are available because the health care doesn't cover it. This practice is done without regard to the patient being able to fund the treatment in another capacity. This same treatment is the opposite for those with private healthcare. "
As a former Nurses Assistant and Med Tech i feel i have an above average understanding of medical terminology and practices.,Mostly i am anxious about my medical conditions and hoping they are not getting worse and hoping the changes i have made towards improving my health are working,As a med tech i received my diabetes speciality which enabled me to administer the stick test for diabetes and administer insulin using a sliding scale.,I like her because she presents all options and treatments and pros and cons without biasing me towards them and she is open to conventional and non conventional treatments
I have all of the abilities I need to read and process this type of information and make my medical decisions. I don't need anybody's help with that at all.,That my blood pressure will be high when I'm getting it checked there. I take a couple of prescriptions for that and it's always lower when I test it at home vs. what the number are in the doctor's office.,"When my kids are sick I know how to take care of them, like if they're running a temperature. I know when they need to be checked out by the pediatrician and when it's just a regular cold that they can't do anything about.",I've had the same doctor for the last three years. He seems pretty thorough and accomplishes everything that needs to be done during my visits. He's brought up tests I could do if I wanted to but doesn't push them on me.
I feel confident because at one time I was considering becoming a nurse. My mother was a nurse and I took a medical terminology coarse ,I had thyroid cancer in the past and I need people who will pay attention to what I am saying and treat me as a patient and not as a disease ,I had thyroid cancer and became very aware of radio active iodine and the fact your thyroid is the only organ that sucks up iodine and TSH is some thing that everyone who has a thyroid removed needs to replace and what T3 and T4 was. I started a thyroid support group so I could support others going through this scary experience ,The last time I want to my doctor he seemed rushed and had other things to do do. He said he was going to do a tetnas shot that day. He never marked it in his notes so the nurse never gave it. 
"I feel as if I have little to no trouble understanding medically relevant information given me by doctors or nurses. Sometimes I find myself unfamiliar with certain medical terminology, but I always make sure that I am confident in my understanding before I leave the office. ",I am worried that the doctor is going to tell me that I have something seriously wrong. Ever since my dad's cancer diagnosis 4 years ago (and his ensuing death in 2015) I have been close to terrified every time I have to see the doctor. ,"Well, when my dad was sick, I attended many of his doctors appointments, chemo treatments, etc. with him. I feel as if I picked up a lot during that time. When it came time for my dad to enter the hospice program, I was able to take care of him myself and home, albeit with the help of a nurse and other family members. I administered medications to help keep him relaxed and comfortable. I turned him in his bed to try to keep him from getting bedsores. When he developed shingles, I kept him as clean and comfortable as possible. I understood what medicines he was on and what they were doing to and for him. I knew enough to understand the process that was taking place inside his body. Sometimes I wish I hadn't. ","I trust my doctor implicitly. He is more internal medicine, so I have been able to see the same doctor since I was a child. My parents saw him, I even have a couple friends who were delivered by him. He has been practicing medicine in the community for decades longer than I've been alive, and he's always had excellent bedside manner. Everyone loves him. "
"I am fairly confident in my ability to understand what I am told by medical professionals. However, sometimes I am bad at thinking of appropriate questions in the moment, such as clarifying questions about what I am told. I also need to put a lot of effort into being organized before an appointment in order to make sure I say everything I need to about my symptoms. When it comes to written documents I am giving after an appointment explaining my diagnosis, I am generally confident in my ability to understand, and that anything unclear is easily researched online if not.","I am most worried about examinations which may be physically painful or uncomfortable, as this has necessarily been a common occurrence for me lately. I am also a reserved person, and therefore may feel physically or even emotionally vulnerable in these moments. This is particularly true if my condition is a source of embarrassment to me, such as a urinary tract infection. I may also be anxious about forgetting to ask a clarifying question in the moment, or otherwise missing the opportunity to inform myself or give the doctor helpful information which can lead to more effective treatment.","When I went to a doctor last year about painful anal fissures and haemorrhoids, I was already pretty well informed about them. This was due in part to having researched them in the past, both in how they relate to poor diet and how they can be caused or exacerbated by anal sex. I already knew going in that these would take a long time to heal, so I didn't expect a quick recovery. Furthermore, I was able to ask better clarifying questions during my appointment due to my prior knowledge, which helped me understand what I needed to do as well as diagnose the cause more quickly.","I generally trust the doctors that I see because I respect their knowledge and experience. This is particularly true when I see specialists about a particular condition. I have faith when seeing a specialist that they have seen many patients with my condition and that they will be able to quickly find a cure or method to manage the condition. I also try to use this opportunity to ask general questions about the condition to them, which I believe is more informative than if I searched online on my own."
To make the appropriate health decisions  and understand basic health information  I feel like I'm pretty confident I could handle it by myself.  Sometimes if I do need help I will just find somebody and have them explain it to me.   I would say 75% of the time I could figure it out.  However I never sign anything that I do not fully understand. Because me and my wife work separate shifts  I have no choice to go to the doctors myself and fill everything else as well as take my 2 children to the doctors and fill their information out.   Legal documents I may have somebody review just because they're legal documents and they have to be correct a 100%. Legal documents I may have somebody review just because they're legal documents and they have to be correct a 100%,There are a few things that could make you feel anxious when visiting a doctor's office.  A couple things that make me anxious or worried is how much the copay is going to be and if I paid my  Deductible yet or in my going to get charged a ton of money.  The next thing I worry about is sitting in the waiting room with all the sick people.   Another thing that makes me anxious on the way to The Doctor's office is how long the wait is going to be in the waiting room.  Also if your blood pressure is going to be high when you 1st get there because all the waiting.,I was on vacation one time and my wife had a urinary tract infection. Over a couple experiences I had I had learned that if you mix baking soda with ice water and drink it really fast cure hurt urinary tract infection if it's in the early stages.  Well we were on a boat in the middle of the ocean and long story short there wasn't any doctors around unless there was a really expensive one and the lower level of the ship.  After being unexpected vacation we are not about to pay so we figure we would give this trick a try.  Surprisingly it was very hard to let the chef get us some baking soda. He wanted to know what we are doing with it why we wanted it it was actually quite daunting.  Once we finally got it she continued that for a couple days and it was cleared up completely.,It is my opinion that a lot of doctors are just out for the money and they want to rush you out and get the next patient in.  I do not think all doctors are like that but I do think that when someone is looking for a blocked or to choose they should really make sure they feel comfortable that they're getting treated properly.   Also if you have something majorly wrong with you I believe that a second or even a 3rd opinion is a good idea.   I believe it's called a practice because no doctors perfect and every doctor it continuously learning.  When experience I recently had is I was sent to the emergency room with a stomach related problem the doctors was full and I got sent to the heart floor for an overnight visit.   They gave me an EKG even though I was not there for my heart in charge me anyways even though I disputed it.   I am they're young and have a very healthy heart there was no reason for that.
I feel i have a great capacity to get understanding of medical information. I always ask questions from medical professionals to be sure I have the correct information and to be sure I understand everything.,"I have been diagnosed with anxiety and lately, due to situations In my life, my condition has worsened.","When I noticed that something was wrong with my side, so I purchased an at home UTI test and realized that I had a severe UTI infection that traveled to my kidneys.",I have had experiences with my primary care physician in which they have not disclosed an issue with me and the issue became worse before I was finally able to get treatment because of this.
"I feel that I have the capacity to understand a good amount of what doctors or nurses are telling me because I work in the medical field. If I did not, I think it would be much more confusing as a patient,",I do not typically get worried when going to the Dr. Unless it is going to be a painful procedure.,I have a masters degree in occupatiol therapy and work in a hospital setting.,My doctor is calm and collected and very sympathetic. She seems to care about me as a patient so I trust her.
"I have full capacity to obtain, process, and understand basic health information and services needed to make appropriate health decisions?, I would make sure I have enough information from the doctor and follow up literature. Also, I would research online to further my understanding and to get a solid support for my decision.",Not getting the results back quickly is what makes me anxious when going to the doctor or if she can't give me an answer right away and has to rely on lab results instead.,I diagnosed my son's strep throat symptoms referring to online medical resources. I was then able to accurately explain to the doctor where the pain was and the film on his glands.,"I trust my primary physician to do her best but no one is perfect and everyone has flaws, so I don't completely trust her because she can make a mistake due to human error."
"I feel very confident with my answers, mostly because if I don't understand something I am very good at looking it up on the computer. But I mostly comprehend what they tell me. Also I am like a very smart person.","Me personally, I have social anxiety disorder. So I feel uneasy just leaving my house. I feel like mine gives the most worst case scenario much of the time. I end up worrying a lot until they get the test results back. I have been told I might have cancer. False alert. I was told I have diabetes and had to stick my finger twice a day for a year. Just to have another doctor tell me I didn't have it. etc.",I went to the doctor for a urinary tract infection. I usually try to fight it off on my own with fluids like cranberry juice. When I wait it turns into a kidney infection. This last time I didn't wait. So I was able to say with confidence to the Dr that it was just a UTI instead of a kidney infection.,I have found that a lot of them will prescribe something because they benefit from the pharmaceutical representatives. I usually do more research on medicines to find out which is best for me. Some doctors know more or just care more than others. 
"I feel competent when it comes to obtaining, processing, and understanding health information and I feel competent to make the appropriate decisions for me. I am quite well informed on a multitude of health information, and I spend time online doing my own research. General Practitioners are very useful, but I feel responsible for understanding my own health problems and researching them as much as I can. I have disagreed with a prognosis before and ended up being right. It pays to be vigilant. ","I really don't care much anymore. I am 69, have lived a full life, and I fully expect my health to deteriorate and I am capable of accepting that. The only thing that makes me close to anxious about visiting the doctor are painful shots, but I can handle it. ","I was diagnosed with rheumatoid arthritis and found that diagnosis to be a bit unbelievable. I did my own research, prior to the internet, and decided it was a bogus diagnosis based on my symptoms. I have not had any signs of rheumatoid arthritis and that diagnosis was over 20 years ago. ",The primary care physicians I have dealt with are overworked and unable to completely focus on one case at a time. That is the nature of health care today for all but the very rich. This is just the way it is. I feel responsible for knowing and researching as much as I can for my own good. 
"Yes, I feel confident that I can obtain information on health services and medical conditions. It is easily accessible on the internet and thru my health insurance provider (via phone or live chat on the provider website).",I feel most anxious or worried when visiting the doctor's office for something that is not routine (outside of my regular appointments). It is the unknown that I worry about.,"I had to speak to the doctor about my autoimmune condition. After doing research on the internet, I was able to self-diagnose my condition and identify causes of the condition. I had a good discussion with my doctor having this knowledge beforehand.","I trust my primary care physician because they always listed, answer my questions, and never seem to rush thru the appointment. If something is wrong, they always make a follow up phone call."
I feel I have a capacity greater than most others in my age group to understand health information. I come from a family of health professiols and have a good vocabulary when it comes to healthcare terms. I also worked as a CSR for a major heath insurance company for a couple years.,Most of my anxiety comes from the doctor feeling that I need further testing beyond what is covered by my insurance. ,"I have two elderly parents who live part time in Florida, where I live, and I am usually called upon to help them if there are any serious health issues that come up as the rest of my family lives up north. I have more than once had to spend time in the hospital as the only receiver of their health info for the family.",I have had the same PCP for about 5 years and she has never made me feel rushed and always asks thorough questions about the status of my health. When I have had any problems she made sure to order the appropriate testing.
I have a good understanding of my healthcare and decisions. I mainly attribute this to the fact that I work in the medical field.,The thing that makes me feel most anxious is fear of the unknown. Sometimes I worry something might be seriously wrong with me.,I work as a medical coder and biller. I know a lot about health insurance. I have been able to educate several of my clinicÃ¢ÂÂs Medicare patients.,"I do not have a primary care physician. In general, I always like to question my doctor though. ItÃ¢ÂÂs part of my nature."
"I have good reading comprehension and a graduate degree. While I am not a health professional, I could figure out what was being told to me or presented in written form.","I do not feel anxious or worried when visiting the doctor unless I fear that I have a serious problem, which means that I would be more worried about whatever the problem was (or could be). If I have any idea what I'm there for there is no worry.","I'm not sure of what you are asking for in this question. I do not demonstrate knowledge of medical issues, though I'm smart enough to get a general understanding of what is being explained to me.","I would generally assume that they are giving honest answers, and given their training and experience it would seem sensible to trust them. They would have little reason to deceive me, although some of it involves guessing."
"In that regards, I have no problem ether in filling out forms, reading and understanding the information contained there-in, but neither do  I  have any problems in asking the doctor questions on subjects that I may have a question on, or in providing the information he would need to treat me for the reason I am seeing him.","The only thing that could cause us to be anxious or worried would be for him to not be able to decide what the problem was at the time we see him, over the years, our doctor has not had that problem in any of our appointments with him.",Guess it would have to be my last brush with a medical problem. Had right lung that decided to not work anymore & deflated. Spent 8 days in hospital and went through extensive tests & other treatments before every thing was corrected. Did learn a lot about the lung functions & how to try & ensure it doesn't happen again.,"We have been seeing the same doctor for past 17 years, & have complete confidence in his treatment of all of our problems that may crop up. Our doctor has our complete faith that he will correctly tell us what is wrong, and order the proper test/medicine we will need to correct it. "
"I feel truly confident in my capacity to make appropriate health decisions. I can understand what the doctor says, and if I do not understand I am able to ask questions and clear my doubts. ","I am anxious about my condition, whether it is improved or worsened. Because I am really trying to take care of myself with respect to this condition, I am really worried if it is not working in the good direction.",I was able to understand what my doctor was saying. I was familiar with  the drugs given which was found helpful at the pharmacy as well.,My doctor takes a lot of time and effort to explain my conditions to me. He gives guidance for modifying my diet in connection with my medication. He also gives directions to appropriate resource persons. He also provides scientific literature regarding my condition.
I feel that I am 80% good for doing that. I will be able to do it so what I will make sure of it. I can do it better than any one else. I will be a good person to do it so you should pick me to do this.,What's would make me feel that way would be the nit knowing what news I will be getting . Faking and knowing something bad is about to be sad is scary and I wouldn't be sure if I would be ready to hear anything like that .,The problems will be bad if I didn't have what unneeded to have . Me getting all the work I need to be done would probably be a hard thing to do sometimes ,"I don't fave one but I guess if telling you that I might be able to get one if that works be okay with you . So if you could help me with that, that would be amazing . Thank you vert much ."
I believe my ability to understand health information is sound. I have a medical condition that requires frequent contact with medical personnel to manage it. I have been able to do this for the past 3 years. ,I am most concerned about what may be found about my medical condition.  There may be something new that appears about my condition.,"I smoked cigarettes for a number of years, but quit when my children were young and information about health riskd associated with smoking became available.",I taught in medical schools and know about their selection and training.  It is a time-tested process.  The quality of practicing physicians is assured by this process.
"I don't feel like I have any trouble understanding and processing the information I receive.  Even if I don't understand something right away, I know where to go to get help figuring it all out.","The only thing that typically makes me nervous is the doctor finding something that concerns him that I had not recognized in myself.  The fear of being diagnosed with a serious illness, even though i'm not having any symptoms, is really what makes me anxious.","When my father was going through the process of being diagnosed with alzheimer's disease, I had to attend every doctor's appointment with him and my mother because they couldn't understand a lot the information they were getting.  The doctor felt most confident talking directly to me and having me try to relay the information to my parents in terms they understand.  My parents also relied on me to help them make the decisions regarding my father's care.","I trust my doctor because he has always been able to treat and cure any ailment that I present to him.  I always wonder if he (or any doctor) is sometimes motivated to recommend treatments that are fincially beneficial to him, however.  I don't believe my doctor has done that with me, but it is always in the back of my mind."
"Assuming that a doctor or other provider is not withholding information, I believe I have the full ability to understand and process information related to my health.  I believe I have an adequate understanding of medical terminology to comprehend what a doctor is telling me and make an appropriate decision.","What causes me anxiety at a doctor's office?  A request for a blood sample, or the need to have an IV.  I really do not care for needles or for blood draws.  Not sure exactly why, but both are something that I would prefer to avoid.","My then 9-year old son was using the bathroom a lot.  He was running to urinate about every 15 minutes or so.  After observing this for a few days, I asked him if he was also thirsty.  He said he was.  I told my wife that he likely had diabetes and that we needed to get him to the doctor first thing tomorrow (it was a Sunday when I was talking with him).  The doctor checked his blood sugar the next day and found that it was over 700.  We got his diabetes under control and so far, he has continued to live a good life (he is now almost 22).","I guess I could say that I trust my primary doctor because he hasn't given me a reason not to trust him.  He is upfront, tells me about options, explains procedures, and is good natured.  I believe he is looking out for my best interests and until he does otherwise, I will have trust in him."
I feel pretty confident that I have the ability to understand basic health information that's given to me and to make decisions for myself. I don't always feel confident that doctors are giving me the right information though or that they have taken the time to understand my issues.,I'm usually most worried that I will receive some bad news. I've had a lot of health problems in the past and always feel like the worst possible scenario is going to come true.,"I had a herniated disc several years ago. Even though I was recommended to have a discectomy, I went to rehab for three months. During the course of rehab and through research on my own, I acquired the knowledge to manage my back pain without surgery and continued my own rehab program independently until I got back to having pretty normal function.","My PCP is thorough and detail-oriented, but I also feel like he dismisses what he sees as minor issues too easily. He's also quick to send me elsewhere to a specialist if anything even remotely complex comes up."
You  must ask every question that is needed to get the information you need to make sure that the doctor is treating you for the right thing and giving you the right treatment ,Coming back with results hoping they didn't pick up someone information .I don't want to be treated for something I don't have by someone making a mistake ,I just had fibroids remove and I had the best doctor in the west coast.I had no after problems surgery went get no pain after,He is very true and I never had a misunderstanding and understand my needs and wants.Always diagnosis me right
I am confident I understand basic health information. I worked at a Primary Care Physician's office.,"Waiting, for test results makes me worried if everything is normal. Also, the waiting for the DR. before your exam and not knowing what will be done.",I worked at a Primary Care Physician's office so I am somewhat familiar with some health and medical issues.,I trust my Dr. But sometimes they need to take people serious and learn about a disease instead of blowing it off.
I feel I have a good doctor and am able to openly communicate and discuss issues with them. I am open about my health issues which I think you need to be in order to get the help you need. I understand for the most part what the Dr says and what I am not sure of I ask questions. My husband will also ask questions which further helps with any questions that may arise or answers we may need. My husband and I share the same Doctor and we typically schedule appointments at the same time so the Doctor sees us together in an hour block.  This also helps us communicate better as we are both there and can both ask questions we may have,Nothing really nowÃ¢ÂÂ because we have had the same Doctor for several years and we know him and converse openly with him. He is friendly and remembers persol details about us which help a lot. He is always open and honest and has always taken very good care of us when we have had needs. We both go to the Doctor regularly and because of that and our relationship with the Doctor there is a large level of comfort now,My mother is 93 years old and has dementia and my husband and myself are her caregivers. We monitor and take care of her health including her type II diabetes and blood pressure. She has had various health issues including hospitalization due to falls and from all this experience we have learned much on how to cope with and mage her health and safety as well as being aware of complications and things to monitor,My husband and I share the same Doctor and there was a time my husband had an appointment and I did not and I went with him. I had a cold at the time and even though it was not my appointment and I didn't bring it upÃ¢ÂÂ the Doctor noticed and asked me questions. Right then and there he wrote a prescription for me even though I didn't have an appointment for myself. He has always gone above and beyond in the care of my husband as well (who has Type II diabetes) and has always been there for us when we had questions and needs. I would recommend him to anyone.
I always write down any problems between visits with primary or specialist so I can bring it up on next visit or if I think I need immediate care go in to see Dr. right away.,That I forget to bring up something that I have written down and that I will have to come back. That what Dr. tells me is something that I need to worry about.,I have learned how to take my blood pressure using a stethoscope and a spigramonter and also how to check my pulse manually.,"My Doctor explains everything to me, sometimes I do not grasps everything but if it is put in his notes I can look it up. If I need to see him he will see me but I will have to wait to be squeezed between appointments of other people. "
I have had many health issues due to a car accident and I'm well versed in these situations.  I feel I can confidently understand the written instructions provided in a medical situation.,"That the problem is much worse than what was anticipated.  In general medical office or hospitals give me anxiety, which compounds the issue of worry and anxiousness.","I was in a bad car accident several years ago and have had multiple abdominal surgeries up to this point.  I can and have talked to the doctors about what previous surgeries and procedures were attempted, why they theorized they failed, and I know what options I have to treat my underlying issues moving forward and have explained these during the consultations.",I have had my primary care doctor for 15 years.  Over this time I have built trust in his diagnosis and treatment options.
